Date,Close,Open,Highest,Lowest,KL,Change(%),Bank
2021-10-11,17102.0,16591.0,17102.0,16591.0,9230000.0,3.57,LVB
2021-10-08,16512.0,16512.0,16669.0,16433.0,3240000.0,0.0,LVB
2021-10-07,16512.0,16551.0,16748.0,16473.0,5250000.0,-0.94,LVB
2021-10-06,16669.0,16669.0,16827.0,16551.0,3530000.0,0.95,LVB
2021-10-05,16512.0,16198.0,16630.0,16158.0,5450000.0,2.19,LVB
2021-10-04,16158.0,16119.0,16787.0,15844.0,9940000.0,-1.67,LVB
2021-10-01,16433.0,16984.0,16984.0,16433.0,9880000.0,-3.47,LVB
2021-09-30,17023.0,17102.0,17180.0,17023.0,3450000.0,-0.23,LVB
2021-09-29,17062.0,17220.0,17259.0,16984.0,4160000.0,-1.81,LVB
2021-09-28,17377.0,17298.0,17456.0,16905.0,4930000.0,0.22,LVB
2021-09-27,17338.0,17927.0,17927.0,17298.0,4590000.0,-1.78,LVB
2021-09-24,17652.0,17809.0,17927.0,17613.0,3830000.0,0.22,LVB
2021-09-23,17613.0,17770.0,18006.0,17534.0,7060000.0,-0.88,LVB
2021-09-22,17770.0,17967.0,18006.0,17731.0,4620000.0,-1.1,LVB
2021-09-21,17967.0,18045.0,18242.0,17809.0,6750000.0,-2.55,LVB
2021-09-20,18438.0,17888.0,18635.0,17888.0,13840000.0,4.68,LVB
2021-09-17,17613.0,17377.0,17770.0,17377.0,6400000.0,1.36,LVB
2021-09-16,17377.0,17416.0,17613.0,17338.0,3720000.0,0.0,LVB
2021-09-15,17377.0,17298.0,17731.0,17141.0,4850000.0,0.22,LVB
2021-09-14,17338.0,17692.0,17731.0,17338.0,6690000.0,-2.43,LVB
2021-09-13,17770.0,17927.0,18085.0,17613.0,5520000.0,-2.16,LVB
2021-09-10,18163.0,18321.0,18360.0,18006.0,6570000.0,-0.86,LVB
2021-09-09,18321.0,18281.0,18360.0,18085.0,5440000.0,0.0,LVB
2021-09-08,18321.0,18360.0,18478.0,18045.0,6200000.0,0.87,LVB
2021-09-07,18163.0,18085.0,18478.0,18006.0,9060000.0,1.09,LVB
2021-09-06,17967.0,17927.0,18163.0,17692.0,8960000.0,0.44,LVB
2021-09-01,17888.0,17849.0,18242.0,17809.0,7220000.0,-1.3,LVB
2021-08-31,18124.0,18596.0,18674.0,18124.0,6300000.0,-1.08,LVB
2021-08-30,18321.0,17534.0,18321.0,17298.0,8390000.0,6.88,LVB
2021-08-27,17141.0,17692.0,17809.0,17062.0,11190000.0,-4.18,LVB
2021-08-26,17888.0,18321.0,18360.0,17770.0,6440000.0,-2.15,LVB
2021-08-25,18281.0,18321.0,18321.0,17927.0,4270000.0,0.87,LVB
2021-08-24,18124.0,17849.0,18242.0,17770.0,9430000.0,1.99,LVB
2021-08-23,17770.0,18556.0,18792.0,17770.0,17310000.0,-5.83,LVB
2021-08-20,18871.0,19814.0,20011.0,18714.0,24470000.0,-5.88,LVB
2021-08-19,20050.0,20444.0,20444.0,19972.0,10330000.0,-1.55,LVB
2021-08-18,20365.0,20522.0,20561.0,20129.0,12920000.0,-1.15,LVB
2021-08-17,20601.0,20050.0,20837.0,19932.0,30560000.0,3.97,LVB
2021-08-16,19814.0,19736.0,20011.0,19500.0,16700000.0,0.8,LVB
2021-08-13,19657.0,19461.0,19657.0,18910.0,12490000.0,1.01,LVB
2021-08-12,19461.0,19814.0,19932.0,19461.0,12470000.0,-1.78,LVB
2021-08-11,19814.0,20168.0,20365.0,19814.0,14250000.0,-1.56,LVB
2021-08-10,20129.0,20444.0,20444.0,19854.0,14760000.0,-0.19,LVB
2021-08-09,20168.0,19814.0,20247.0,19697.0,12750000.0,0.0,LVB
2021-08-06,20168.0,20522.0,20522.0,19972.0,10320000.0,-1.35,LVB
2021-08-05,20444.0,19814.0,20444.0,19657.0,14490000.0,3.38,LVB
2021-08-04,19775.0,19775.0,20011.0,19539.0,14410000.0,0.4,LVB
2021-08-03,19697.0,19657.0,19972.0,19264.0,10170000.0,0.2,LVB
2021-08-02,19657.0,19893.0,20050.0,19264.0,8820000.0,-1.96,LVB
2021-07-30,20050.0,18989.0,20050.0,18989.0,19360000.0,6.25,LVB
2021-07-29,18871.0,18478.0,18871.0,18438.0,6510000.0,2.13,LVB
2021-07-28,18478.0,18242.0,18478.0,18085.0,5420000.0,0.22,LVB
2021-07-27,18438.0,18203.0,18438.0,18124.0,5700000.0,2.4,LVB
2021-07-26,18006.0,18203.0,18517.0,17731.0,5260000.0,-2.96,LVB
2021-07-23,18556.0,18163.0,19343.0,18163.0,9130000.0,0.42,LVB
2021-07-22,18478.0,18674.0,18674.0,18242.0,5070000.0,0.43,LVB
2021-07-21,18399.0,18871.0,19185.0,18281.0,7730000.0,2.38,LVB
2021-07-20,17972.0,17972.0,18078.0,16884.0,14520000.0,0.2,LVB
2021-07-19,17937.0,18253.0,18955.0,17937.0,13140000.0,-6.92,LVB
2021-07-16,19271.0,19517.0,19552.0,19131.0,7470000.0,-0.91,LVB
2021-07-15,19447.0,18955.0,19447.0,18674.0,6500000.0,2.22,LVB
2021-07-14,19025.0,19306.0,19306.0,18253.0,11360000.0,-1.46,LVB
2021-07-13,19306.0,19657.0,19868.0,18745.0,10510000.0,-1.79,LVB
2021-07-12,19657.0,19868.0,20078.0,18885.0,23060000.0,-3.11,LVB
