season,group,value,bank
3-2022,tong-doanh-thu(*),"12,572,820,000",STB
3-2022,tong-loi-nhuan-truoc-thue,"1,532,027,000",STB
3-2022,tong-chi-phi,"8,833,046,000",STB
3-2022,loi-nhuan-rong(**)(**),"1,211,607,000",STB
3-2022,tong-tai-san,"564,192,851,000",STB
3-2022,tien-cho-vay,"421,309,776,000",STB
3-2022,dau-tu-chung-khoan,"73,973,705,000",STB
3-2022,gop-von-va-dau-tu-dai-han,"88,851,000",STB
3-2022,tien-gui,"468,491,528,000",STB
3-2022,von-va-cac-quy,"36,940,248,000",STB
3-2022,tong-doanh-thu(*),"4,431,777,000",SSB
3-2022,tong-loi-nhuan-truoc-thue,"1,210,053,000",SSB
3-2022,tong-chi-phi,"3,160,112,000",SSB
3-2022,loi-nhuan-rong(**)(**),"964,752,000",SSB
3-2022,tong-tai-san,"229,145,802,000",SSB
3-2022,tien-cho-vay,"152,511,962,000",SSB
3-2022,dau-tu-chung-khoan,"13,640,790,000",SSB
3-2022,gop-von-va-dau-tu-dai-han,"61,313,000",SSB
3-2022,tien-gui,"165,658,008,000",SSB
3-2022,von-va-cac-quy,"24,620,095,000",SSB
3-2022,tong-doanh-thu(*),"15,102,450,000",TCB
3-2022,tong-loi-nhuan-truoc-thue,"6,715,079,000",TCB
3-2022,tong-chi-phi,"7,980,210,000",TCB
3-2022,loi-nhuan-rong(**)(**),"5,297,966,000",TCB
3-2022,tong-tai-san,"671,353,524,000",TCB
3-2022,tien-cho-vay,"417,760,485,000",TCB
3-2022,dau-tu-chung-khoan,"104,660,158,000",TCB
3-2022,gop-von-va-dau-tu-dai-han,"12,813,000",TCB
3-2022,tien-gui,"387,202,846,000",TCB
3-2022,von-va-cac-quy,"108,866,771,000",TCB
3-2022,tong-doanh-thu(*),"6,673,120,000",TPB
3-2022,tong-loi-nhuan-truoc-thue,"2,137,715,000",TPB
3-2022,tong-chi-phi,"4,332,413,000",TPB
3-2022,loi-nhuan-rong(**)(**),"1,711,622,000",TPB
3-2022,tong-tai-san,"317,327,732,000",TPB
3-2022,tien-cho-vay,"171,663,537,000",TPB
3-2022,dau-tu-chung-khoan,"76,108,912,000",TPB
3-2022,tien-gui,"212,772,186,000",TPB
3-2022,von-va-cac-quy,"30,637,298,000",TPB
3-2022,tong-doanh-thu(*),"25,911,894,000",VCB
3-2022,tong-loi-nhuan-truoc-thue,"7,566,222,000",VCB
3-2022,tong-chi-phi,"16,998,950,000",VCB
3-2022,loi-nhuan-rong(**)(**),"6,064,870,000",VCB
3-2022,tong-tai-san,"1,649,664,327,000",VCB
3-2022,tien-cho-vay,"1,179,112,689,000",VCB
3-2022,dau-tu-chung-khoan,"178,567,471,000",VCB
3-2022,gop-von-va-dau-tu-dai-han,"2,217,065,000",VCB
3-2022,tien-gui,"1,370,157,364,000",VCB
3-2022,von-va-cac-quy,"128,287,343,000",VCB
3-2022,tong-doanh-thu(*),"8,377,764,000",VIB
3-2022,tong-loi-nhuan-truoc-thue,"2,791,123,000",VIB
3-2022,tong-chi-phi,"5,300,040,000",VIB
3-2022,loi-nhuan-rong(**)(**),"2,233,407,000",VIB
3-2022,tong-tai-san,"340,910,343,000",VIB
3-2022,tien-cho-vay,"252,139,922,000",VIB
3-2022,dau-tu-chung-khoan,"49,557,155,000",VIB
3-2022,gop-von-va-dau-tu-dai-han,"69,492,000",VIB
3-2022,tien-gui,"189,033,408,000",VIB
3-2022,von-va-cac-quy,"30,477,741,000",VIB
3-2022,tong-doanh-thu(*),"61,975,484,000",VPB
3-2022,tong-loi-nhuan-truoc-thue,"13,019,455,000",VPB
3-2022,tong-chi-phi,"35,424,381,000",VPB
3-2022,loi-nhuan-rong(**),"10,413,760,000",VPB
3-2022,tong-tai-san,"419,026,527,000",VPB
3-2022,tien-cho-vay,"296,541,869,000",VPB
3-2022,dau-tu-chung-khoan,"76,978,649,000",VPB
3-2022,gop-von-va-dau-tu-dai-han,"238,581,000",VPB
3-2022,tien-gui,"242,799,397,000",VPB
3-2022,von-va-cac-quy,"52,793,502,000",VPB
4-2022,tong-doanh-thu(*),"13,475,175,000",ACB
4-2022,tong-loi-nhuan-truoc-thue,"3,611,083,000",ACB
4-2022,tong-chi-phi,"10,004,656,000",ACB
4-2022,loi-nhuan-rong(**)(**),"2,870,518,000",ACB
